,uuid,url,filename,folder,building
24,46cb07d0-7e71-4866-b9e2-1715b0bb4eb1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-4A.jpg,612-M-4A,AA270900,00-35.112
25,36caa3f0-a043-4dcd-bbf8-3d6c78dad3f8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-5.jpg,612-M-5,AA270900,00-35.112
26,e815cdb9-c452-4e37-804f-37828c3bbb4c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-6.jpg,612-M-6,AA270900,00-35.112
27,f720dfd3-49f9-409c-bf3e-e59b4db0a2e1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-7.jpg,612-M-7,AA270900,00-35.112
28,268eaf8b-ba01-4eac-ad8d-d1ff11aba7c1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-8.jpg,612-M-8,AA270900,00-35.112
29,60192421-cf4a-4441-9fe0-aff2c56f2754,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-9.jpg,612-M-9,AA270900,00-35.112
30,6429ec3f-93d7-413e-8a05-d5d244834aa7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-10.jpg,612-M-10,AA270900,00-35.112
31,69eda9ea-7ccf-4064-9423-4fd32c452eee,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-11.jpg,612-M-11,AA270900,00-35.112
32,cc8611c3-1dd5-4957-a5a1-41005a11c019,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-12.jpg,612-M-12,AA270900,00-35.112
33,5977b56d-fb41-4c27-9862-d15f97d2cd58,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-13.jpg,612-M-13,AA270900,00-35.112
34,39d4a463-b4e5-4fbd-9709-5f49cd79f326,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-19.jpg,612-M-19,AA270900,00-35.112
35,95a24d59-190f-494d-88c3-396eb9b6e2e8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-21.jpg,612-M-21,AA270900,00-35.112
36,1879d5d4-28ea-4d2e-ae2d-7714ebcf3b6b,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-22.jpg,612-M-22,AA270900,00-35.112
